"status","contents__totalCount","contents__items__type","contents__items__id","contents__items__name","contents__items__shareUrl","contents__items__durationMs","contents__items__durationText","contents__items__discNumber","contents__items__trackNumber","contents__items__playCount","contents__items__artists__type","contents__items__artists__id","contents__items__artists__name","contents__items__artists__shareUrl","contents__items__album__type","contents__items__album__id","contents__items__album__name","contents__items__album__shareUrl","contents__items__album__artists__type","contents__items__album__artists__id","contents__items__album__artists__name","contents__items__album__artists__shareUrl","contents__items__album__cover__url","contents__items__album__cover__width","contents__items__album__cover__height","contents__items__playlist__addedAt","contents__items__playlist__addedBy"
"","","track","1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer","https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr","178426","02:58","1","2","1151554203","artist","06HL4z0CvFAxyc27GXpf02","Taylor Swift","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02","album","1NAmidJlEaVgA3MpcPFYGq","Lover","https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq","artist","06HL4z0CvFAxyc27GXpf02","Taylor Swift","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02","https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","640","640","",""
"","","track","5RqSsdzTNPX1uzkmlHCFvK","QLONA","https://open.spotify.com/track/5RqSsdzTNPX1uzkmlHCFvK","172797","02:52","1","5","196461114","artist","790FomKkXshlbRYZFtlgla","KAROL G","https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla","album","0FqAaUEyKCyUNFE1uQPZ7i","MAÑANA SERÁ BONITO (BICHOTA SEASON)","https://open.spotify.com/album/0FqAaUEyKCyUNFE1uQPZ7i","artist","790FomKkXshlbRYZFtlgla","KAROL G","https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla","https://i.scdn.co/image/ab67616d00001e02d026bf9d7780f6a1267b4d03","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","12GqGscKJx3aE4t07u7eVZ","Peso Pluma","https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ","","","","","","","","","https://i.scdn.co/image/ab67616d00004851d026bf9d7780f6a1267b4d03","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03","640","640","",""
"","","track","7ABLbnD53cQK00mhcaOUVG","LALA","https://open.spotify.com/track/7ABLbnD53cQK00mhcaOUVG","197920","03:17","1","22","470247058","artist","7iK8PXO48WeuP03g8YR51W","Myke Towers","https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W","album","3puAvurwvtvi1rodndIPW8","LA VIDA ES UNA","https://open.spotify.com/album/3puAvurwvtvi1rodndIPW8","artist","7iK8PXO48WeuP03g8YR51W","Myke Towers","https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W","https://i.scdn.co/image/ab67616d00001e020656d5ce813ca3cc4b677e05","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d000048510656d5ce813ca3cc4b677e05","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05","640","640","",""
"","","track","2HafqoJbgXdtjwCOvNEF14","Si No Estás","https://open.spotify.com/track/2HafqoJbgXdtjwCOvNEF14","184061","03:04","1","1","24413575","artist","0jbo7KFNMiIkfBR6ih0yhm","iñigo quintero","https://open.spotify.com/artist/0jbo7KFNMiIkfBR6ih0yhm","album","66k6EGkPtYoN44anGIsEPW","Si No Estás","https://open.spotify.com/album/66k6EGkPtYoN44anGIsEPW","artist","0jbo7KFNMiIkfBR6ih0yhm","iñigo quintero","https://open.spotify.com/artist/0jbo7KFNMiIkfBR6ih0yhm","https://i.scdn.co/image/ab67616d00001e025cb9531348f45311cd6fb8df","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d000048515cb9531348f45311cd6fb8df","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2735cb9531348f45311cd6fb8df","640","640","",""
